nuid,year,birth_year,female,white,black,hisp,asian,natam,missing,group,awd_perf,cmpl_civ,trr_new,arrest_total,tenure,L_cmpl_civ,L_arrest_total,L_trr_new,tenure2,tenure3,L_cmpl_civ2,L_cmpl_civ3,L_arrest_total2,L_arrest_total3,L_trr_new2,L_trr_new3
15,2014,1983,0,1,0,0,0,0,0,204,9,1,3,54,2.1666667,,,,4.6944447,10.171297,,,,,,
15,2015,1983,0,1,0,0,0,0,0,204,17,0,3,63,3.1666667,1,54,3,10.027779,31.754633,1,1,2916,157464,9,27
25,2015,1986,1,0,0,0,1,0,0,281,0,0,0,3,1.75,,,,3.0625,5.359375,,,,,,
56,2011,1982,0,0,0,1,0,0,0,142,4,0,4,65,2.0833333,,,,4.3402777,9.042244,,,,,,
56,2012,1982,0,0,0,1,0,0,0,142,4,4,5,106,3.0833333,0,65,4,9.5069437,29.313076,0,0,4225,274625,16,64
56,2013,1982,0,0,0,1,0,0,0,142,8,3,7,112,4.0833335,4,106,5,16.673613,68.083923,16,64,11236,1191016,25,125
56,2014,1982,0,0,0,1,0,0,0,142,6,1,5,114,5.0833335,3,112,7,25.840279,131.35475,9,27,12544,1404928,49,343
56,2015,1982,0,0,0,1,0,0,0,142,6,0,3,34,6.0833335,1,114,5,37.006947,225.1256,1,1,12996,1481544,25,125
62,2011,1980,1,0,0,1,0,0,0,138,6,1,0,15,2.0833333,,,,4.3402777,9.042244,,,,,,
62,2012,1980,1,0,0,1,0,0,0,138,4,0,1,11,3.0833333,1,15,0,9.5069437,29.313076,1,1,225,3375,0,0
62,2013,1980,1,0,0,1,0,0,0,138,0,0,0,4,4.0833335,0,11,1,16.673613,68.083923,0,0,121,1331,1,1
62,2014,1980,1,0,0,1,0,0,0,138,0,0,0,0,5.0833335,0,4,0,25.840279,131.35475,0,0,16,64,0,0
62,2015,1980,1,0,0,1,0,0,0,138,0,0,0,0,6.0833335,0,0,0,37.006947,225.1256,0,0,0,0,0,0
80,2012,1979,0,0,0,1,0,0,0,153,3,3,0,34,2.3333333,,,,5.4444442,12.703702,,,,,,
80,2013,1979,0,0,0,1,0,0,0,153,4,1,0,27,3.3333333,3,34,0,11.111111,37.037033,9,27,1156,39304,0,0
80,2014,1979,0,0,0,1,0,0,0,153,4,0,1,29,4.3333335,1,27,0,18.777779,81.370377,1,1,729,19683,0,0
80,2015,1979,0,0,0,1,0,0,0,153,2,0,1,5,5.3333335,0,29,1,28.444447,151.70372,0,0,841,24389,1,1
116,2012,1980,0,0,1,0,0,0,0,152,2,1,2,22,2.3333333,,,,5.4444442,12.703702,,,,,,
116,2013,1980,0,0,1,0,0,0,0,152,9,1,2,18,3.3333333,1,22,2,11.111111,37.037033,1,1,484,10648,4,8
116,2014,1980,0,0,1,0,0,0,0,152,8,0,2,32,4.3333335,1,18,2,18.777779,81.370377,1,1,324,5832,4,8
